Nama,NIM,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40
Nama_8270,NIM_7423388,4,2,3,5,1,3,3,2,4,3,5,3,5,5,1,4,4,1,2,5,3,4,3,2,3,1,5,4,3,2,4,1,5,5,3,2,2,2,1,5
Nama_4843,NIM_6414709,1,1,5,4,2,2,4,3,5,3,5,4,4,4,2,2,3,1,4,4,4,5,3,2,3,1,5,2,4,4,5,1,5,3,4,2,3,2,1,3
Nama_8858,NIM_1769598,3,3,5,4,2,2,2,3,5,3,5,3,2,4,2,3,4,1,3,5,3,3,2,2,2,1,5,2,5,2,4,1,4,3,1,3,3,2,2,2
Nama_8554,NIM_1416880,3,2,5,2,2,5,5,1,4,3,3,2,3,5,2,4,5,2,4,3,4,4,1,1,4,2,4,3,3,3,5,2,5,4,4,1,2,3,1,4
Nama_6423,NIM_3472189,2,4,5,3,2,5,4,3,5,1,5,4,4,3,2,2,5,3,4,5,3,4,1,1,4,1,5,4,5,3,3,1,4,4,4,1,3,3,1,4
Nama_1980,NIM_3215167,1,2,5,3,2,2,2,2,3,1,5,4,3,2,3,2,3,2,3,4,4,3,4,1,3,1,4,4,2,3,4,2,4,4,3,2,5,2,1,3
Nama_6177,NIM_2423286,3,2,4,3,1,4,3,3,4,2,5,5,3,5,1,4,4,1,4,5,3,1,2,2,4,2,5,4,4,3,5,2,5,5,4,1,4,4,2,5
Nama_2066,NIM_3055723,3,2,4,3,1,5,2,4,3,4,4,1,2,5,3,3,2,3,5,5,3,4,3,1,4,3,5,2,3,3,5,1,2,3,3,1,3,3,2,4
Nama_5946,NIM_4599865,3,5,3,2,3,4,4,3,4,2,5,2,4,3,2,3,5,1,3,5,4,3,2,2,2,1,4,3,4,4,5,1,4,2,3,1,4,2,2,5
Nama_1504,NIM_5949499,4,2,5,4,2,3,4,3,5,3,5,2,4,4,5,3,4,1,1,4,3,4,3,3,4,1,4,4,2,4,5,1,3,5,3,3,2,2,2,4
Nama_8140,NIM_9551881,2,2,4,3,1,3,4,3,4,2,5,2,4,3,3,5,2,1,4,5,4,4,4,3,3,2,5,5,4,2,5,1,5,4,5,1,4,2,1,3
Nama_2906,NIM_9001482,4,2,4,2,1,4,3,3,4,2,4,1,3,2,4,4,4,2,3,4,4,4,2,1,3,1,3,5,5,2,5,2,5,5,3,1,2,3,1,2
